Country,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
Australia,1362613,1655843,1725461,1742461,1796805,1771681
Austria,434050,480786,472339,512509,521269,534301
Belgium,529269,598892,593906,644968,664965,684864
Canada,1655685,2022382,2190411,2173340,2241253,2225341
China,15103357,18190803,18307816,18270351,18748009,19231705
Colombia,270348,318525,345632,366292,418542,427766
Costa Rica,62382,64954,69235,86509,95365,102591
Czech Republic,251110,290973,301831,343207,344931,360244
Denmark,355631,408378,401946,407092,429458,449940
Dominican Republic,78625,95067,113813,120794,124613,127828
Ecuador,95865,107179,116133,121147,121728,125677
Egypt,382525,423300,475231,393828,383109,347342
El Salvador,24921,29043,31989,34016,35337,36749
Ethiopia,96611,99261,118958,159761,143123,117457
Fiji,4432,4305,4970,5442,5949,6257
Finland,269784,294419,280474,295036,298833,303945
France,2645806,2968405,2797049,3056880,3162023,3211292
Germany,3936989,4351188,4166872,4527009,4658526,4744804
Greece,191210,218449,219053,243569,257067,267348
Guatemala,77718,86467,95631,104436,112575,121177
Guinea,14089,16320,19589,22750,25758,30094
Haiti,14508,21017,19826,19603,26229,33548
Honduras,23190,27950,31233,34229,36965,38172
Hong Kong,344941,368954,358680,381066,407107,423999
Hungary,158468,183283,178321,214098,223060,237070
Iceland,21630,25770,28696,31452,33463,35309
India,2674852,3167271,3346107,3638490,3909097,4187017
Indonesia,1059055,1186510,1319101,1371169,1396300,1429743
Iran,195528,289294,376254,372820,401357,341013
Iraq,182576,210753,288059,270799,277478,258020
Ireland,436205,531660,549003,551554,577216,598840
Israel,410771,489854,525183,512185,540381,583361
Italy,1905956,2180656,2105722,2305271,2372059,2422855
Jamaica,13885,14674,17003,19315,20069,21411
Japan,5054069,5039148,4262146,4213167,4026211,4186431
Jordan,43762,46362,48722,51161,53428,56102
Kenya,100912,109875,114733,108747,120899,131673
South Korea,1744456,1942314,1799363,1839058,1869714,1790322
Luxembourg,73612,86444,80865,87599,93169,96613
Macau,25344,30969,24998,45802,50182,53354
Madagascar,13051,14355,15326,15870,17420,18708
Malawi,11847,12475,12531,13439,11797,13959
Malaysia,337456,373785,407605,399705,419617,444984
Morocco,121354,142022,130952,144438,155350,165835
Nepal,33434,36927,41183,40907,43419,46080
Netherlands,931814,1055173,1047364,1154694,1227174,1272011
New Zealand,210541,249775,245203,253436,257728,248666
Nicaragua,12730,14208,15634,17820,19710,21155
Niger,13764,14923,15458,16809,19866,21874
Nigeria,432299,441074,476468,363816,187640,188271
North Macedonia,12385,14008,13957,15772,16679,17885
Norway,367633,503368,596298,482950,483727,504276
Panama,57087,67407,76523,83382,87688,91675
Paraguay,35432,39951,41953,43118,43989,45465
Peru,206461,226268,244419,267482,289070,303293
Philippines,361751,394087,404353,437055,461617,497495
Poland,605930,689253,695734,809706,908583,979960
Portugal,229435,256226,257101,289781,308590,321440
Puerto Rico,103131,106427,113567,117902,120978,122522
Romania,252372,286783,296928,350847,384148,403395
Russia,1488118,1828927,2295527,2059762,2161205,2076396
Saudi Arabia,734271,874157,1108571,1067583,1085358,1083749
Spain,1288751,1462216,1447636,1620558,1722227,1799511
Sudan,35237,35142,33517,36998,28270,31506
Suriname,2912,3084,3631,3445,4458,4506
Sweden,545148,637187,579896,585490,610118,620297
Switzerland,741288,814699,828522,894867,936738,947125
Taiwan,676861,776965,765624,757335,782441,804889
Thailand,500462,506195,495645,515906,526411,546224
Turkey,717114,807893,905800,1130062,1322405,1437406
Uganda,37889,42805,47276,51934,56453,64277
Ukraine,156566,199835,161987,178763,190426,205742
United Arab Emirates,349473,415179,502732,514130,537079,548598
United Kingdom,2698705,3144079,3125404,3371118,3644636,3839180
United States,21354125,23681175,26006900,27720725,29184900,30507217
Uruguay,53557,60742,70600,77997,80961,79731
